,county,TOTAL DOLLAR AMOUNT OF CLAIMS
775,Harrison,1848143.59
776,Jennings,2642691.9
777,Perry,14150222.78
778,Clark,2556220.27
779,Washington,2556220.27
780,Floyd,2556220.27
781,Vanderburgh,50434794.77
782,Rush,15036335.01
783,Decatur,15036335.01
784,Franklin,15036335.01
785,Warrick,5113563.42
786,Carroll,6450945.14
787,Tippecanoe,6450945.14
788,DeKalb,1398187.69
789,Steuben,1398187.69
790,Hamilton,17318024.49
791,Marion,17318024.49
792,Vermillion,806891.9
793,Martin,1066768.01
794,Lawrence,1066768.01
795,Randolph,1438926.87
796,Wayne,1438926.87
797,Wayne,964286.99
798,Fayette,964286.99
799,Dubois,727191.37
800,Greene,306076.39
801,Randolph,5898412.71
802,Delaware,5898412.71
803,Allen,2068792.0
804,DeKalb,781115.67
805,Noble,4410373.75
806,Kosciusko,4410373.75
807,Whitley,4410373.75
808,Vigo,54891968.54
809,Allen,3136745.66
810,Noble,3136745.66
811,DeKalb,3136745.66
812,Allen,12248879.28
813,Marion,51567869.68
814,Harrison,22882751.24
815,Bartholomew,3337369.79
816,Decatur,3337369.79
817,Jennings,3337369.79
818,Cass,34156326.8
819,Wabash,34156326.8
820,Miami,34156326.8
821,Jennings,857148.19
822,Jefferson,857148.19
823,Wells,184118.8
824,Johnson,8511154.37
825,Parke,2837501.2
826,Fountain,2837501.2
827,Allen,18980117.78
828,Pulaski,5666412.95
829,Starke,5666412.95
830,Montgomery,1208032.23
831,Hancock,1035356.44
832,Henry,1035356.44
833,Allen,2694119.05
834,Wells,2694119.05
835,Huntington,2694119.05
836,Whitley,2694119.05
837,LaPorte,1520601.27
838,Starke,1520601.27
839,Hamilton,5566527.11
840,Putnam,879189.27
841,Morgan,879189.27
842,Owen,879189.27
843,Randolph,1055728.06
844,Wayne,1055728.06
845,Shelby,358180.46
846,Hamilton,39655254.06
847,Marion,39655254.06
848,St. Joseph,10891553.97
849,Tipton,38975596.01
850,Howard,38975596.01
851,Cass,1645739.48
852,Miami,1645739.48
853,Howard,1645739.48
854,Brown,36992474.19
855,Bartholomew,36992474.19
856,Jennings,36992474.19
857,Jackson,36992474.19
858,Harrison,216221.1
859,Jackson,7487709.43
860,Hendricks,12662630.16
861,Martin,4236856.16
862,Montgomery,32520785.42
863,Fulton,602719.62
864,Marshall,602719.62
865,Posey,1195776.15
866,Greene,7845659.5
867,Wabash,13294581.43
868,Kosciusko,13294581.43
869,Whitley,13294581.43
870,Allen,33350494.8
871,Allen,45163607.88
872,Pulaski,1574803.82
873,Starke,1574803.82
874,Fulton,1574803.82
875,Spencer,6441975.93
876,Wells,4717179.57
877,Huntington,4717179.57
878,Newton,2867144.27
879,Jasper,2867144.27
880,Newton,11376823.39
881,Jasper,11376823.39
882,Dearborn,23265112.91
883,Noble,762499.23
884,DeKalb,762499.23
885,St. Joseph,17107851.35
886,Vermillion,2108902.51
887,Morgan,38620930.04
888,Monroe,38620930.04
889,Johnson,38620930.04
890,Monroe,16777111.2
891,Delaware,56403441.45
892,Henry,56403441.45
893,Carroll,4650108.15
894,Clinton,4650108.15
895,Union,634371.45
896,Franklin,634371.45
897,Spencer,1455869.61
898,Switzerland,664414.89
899,Starke,1059360.59
900,Dubois,9636489.22
901,Clark,34286457.25
902,Benton,1541299.22
903,Randolph,13899323.33
904,Porter,17021507.28
905,Lake,17021507.28
906,Wells,37373870.23
907,Huntington,37373870.23
908,Boone,3384505.3
909,Marion,3384505.3
910,Hendricks,3384505.3
911,Steuben,21396355.54
912,Wayne,2773156.4
913,Henry,2773156.4
914,Delaware,51197585.18
915,Greene,1022290.0
916,Hamilton,32588884.51
917,Blackford,13394123.74
918,Delaware,13394123.74
919,Porter,5186158.91
920,Jasper,5186158.91
921,Lake,5186158.91
922,Bartholomew,5750047.25
923,Decatur,5750047.25
924,Perry,149556.56
925,Perry,118226.28
926,Boone,596644.17
927,Clinton,596644.17
928,Montgomery,596644.17
929,Marion,49218776.61
930,Lake,23403853.99
931,Clinton,396767.3
932,Tipton,396767.3
933,Clinton,4413748.89
934,Tippecanoe,4413748.89
935,Porter,39069395.21
936,Delaware,2268861.3
937,Henry,2268861.3
938,Clay,618030.75
939,Vigo,618030.75
940,Sullivan,618030.75
941,LaPorte,16391903.03
942,Starke,16391903.03
943,Monroe,3378721.77
944,Lawrence,3378721.77
945,Greene,3378721.77
946,Boone,13373773.5
947,Hamilton,13373773.5
948,Marion,13373773.5
949,Hendricks,13373773.5
950,Lake,12540481.13
951,Hancock,42514158.65
952,Marion,42514158.65
953,Gibson,3861807.14
954,Dubois,7363440.9
955,Orange,7363440.9
956,LaGrange,2318111.93
957,Perry,207221.73
958,Ohio,5067828.41
959,Switzerland,5067828.41
960,Clark,753514.27
961,LaGrange,1722380.15
962,DeKalb,1722380.15
963,Steuben,1722380.15
964,Madison,1802847.11
965,Hancock,1802847.11
966,Henry,1802847.11
967,Cass,286605.53
968,Fulton,286605.53
969,Pike,326486.11
970,Dubois,326486.11
971,Boone,18614914.38
972,Hamilton,18614914.38
973,Wabash,2723593.79
974,Kosciusko,2723593.79
975,Fulton,2723593.79
976,Porter,45230349.98
977,Lake,45230349.98
978,Adams,1351355.64
979,Monroe,7779562.98
980,Dearborn,12236900.87
981,Ohio,12236900.87
982,Marion,40417574.4
983,Kosciusko,1617075.58
984,Harrison,1412765.29
985,Carroll,26124264.95
986,Clinton,26124264.95
987,Elkhart,15113953.68
988,St. Joseph,15113953.68
989,Marion,27585372.11
990,Boone,1675519.79
991,Clinton,1675519.79
992,Tipton,1675519.79
993,Monroe,49814.78
994,Hendricks,3336084.3
995,Pulaski,1315425.88
996,White,1315425.88
997,Gibson,2002136.82
998,LaGrange,12018503.67
999,Steuben,12018503.67
1000,Tippecanoe,29181549.95
1001,Morgan,2077137.06
1002,Hendricks,2077137.06
1003,Johnson,3732651.93
1004,Allen,6529518.39
1005,Adams,6529518.39
1006,Wells,6529518.39
1007,Newton,1535316.74
1008,Daviess,7716407.04
1009,Martin,7716407.04
1010,Tippecanoe,34247980.2
1011,Rush,805644.52
1012,Henry,805644.52
1013,Union,56955162.05
1014,Franklin,56955162.05
1015,Fayette,56955162.05
1016,Allen,42544205.28
1017,Montgomery,1535569.74
1018,Delaware,2715759.69
1019,Madison,2715759.69
1020,Grant,2715759.69
1021,Wayne,4575140.7
1022,Henry,4575140.7
